61,0,1,L
84,0,2,L
56,1,0,W
75,1,1,W
81,2,1,W
46,1,0,W
48,2,0,W
63,3,0,W
113,1,0,W
06,1,0,W
67,2,0,W
71,3,0,W
73,4,0,W
75,5,0,W
35,1,0,W
07,0,1,W
08,0,2,W
09,1,2,W
31,1,3,W
39,2,3,W
39,3,3,W
57,4,3,W
05,0,1,W
12,1,1,W
23,2,1,W
28,3,1,W
38,4,1,W
62,4,2,W
72,5,2,W
00,1,0,L
12,1,1,L
32,1,2,L
14,0,1,T
46,1,1,T
28,1,0,W
33,2,0,W
49,3,0,W
53,4,0,W
12,1,0,W
31,2,0,W
45,2,1,W
69,3,1,W
02,1,0,W
14,2,0,W
43,3,0,W
49,4,0,W
51,5,0,W
54,6,0,W
59,7,0,W
60,8,0,W
74,9,0,W
77,10,0,W
39,1,0,W
00,1,0,L
12,2,0,L
13,2,1,L
62,2,2,L
91,2,3,L
30,0,1,L
63,0,2,L
05,0,1,L
08,0,2,L
08,1,2,L
20,0,1,L
51,0,2,L
79,1,2,L
65,0,1,L
04,0,1,L
24,0,2,L
28,0,3,L
44,0,4,L
57,0,5,L
65,0,6,L
72,0,7,L
79,0,8,L
29,1,0,W
30,2,0,W
50,3,0,W
37,1,0,W
43,2,0,W
49,2,1,W
38,0,1,L
52,1,1,L
56,2,1,L
62,2,2,L
64,2,3,L
04,1,0,W
56,2,0,W
73,2,1,W
74,3,1,W
08,1,0,L
37,1,1,L
95,1,2,L
52,0,1,L
62,0,2,L
69,1,2,L
08,1,0,W
33,2,0,W
37,3,0,W
82,4,0,W
87,5,0,W
00,1,0,W
10,2,0,W
22,3,0,W
44,4,0,W
51,5,0,W
63,6,0,W
89,7,0,W
91,0,1,L
26,1,0,L
35,1,1,L
66,1,2,L
110,0,0,T
37,0,1,L
52,0,2,L
63,0,1,L
66,0,2,L
88,1,2,L
89,2,2,L
109,2,3,L
04,1,0,W
08,2,0,W
10,3,0,W
26,4,0,W
29,5,0,W
41,6,0,W
54,6,1,W
22,1,0,W
40,1,1,W
59,2,1,W
110,0,0,T
54,0,1,L
80,1,1,L
97,1,2,L
44,1,0,W
74,1,0,W
01,0,1,W
04,0,2,W
24,1,2,W
26,1,3,W
37,2,3,W
51,3,3,W
75,4,3,W
83,5,3,W
49,1,0,L
75,1,1,L
78,1,2,L
110,0,0,T
14,1,0,W
18,2,0,W
22,3,0,W
49,4,0,W
59,5,0,W
2,1,0,W
24,2,0,W
74,3,0,W
83,3,1,W
43,1,0,L
55,1,1,L
58,1,2,L
63,0,1,L
86,1,1,L
106,1,2,L
27,1,0,W
50,0,1,L
74,0,2,L
06,1,0,L
18,1,1,L
79,1,2,L
01,1,0,W
66,1,1,W
79,1,2,W
85,2,2,W
95,3,2,W
05,1,0,W
09,2,0,W
30,3,0,W
54,3,1,W
36,1,0,W
33,2,0,W
12,3,0,W
80,1,0,W
19,0,1,L
70,0,2,L
80,1,0,W
31,1,0,W
48,2,0,W
48,3,0,W
79,4,0,W
33,1,0,W
41,2,0,W
44,3,0,W
74,4,0,W
08,1,0,W
74,2,0,W
79,3,0,W
87,3,1,W
63,1,0,T
71,1,1,T
58,0,1,L
78,0,2,L
23,1,0,W
85,2,0,W
39,0,1,L
58,0,2,L
65,1,2,L
86,2,2,L
89,2,3,L
26,0,1,L
46,0,2,L
53,1,2,L
77,0,1,L
05,0,1,W
62,1,1,W
85,2,1,W
87,3,1,W
19,0,1,W
33,1,1,W
38,2,1,W
47,3,1,W
54,4,1,W
68,5,1,W
86,5,2,W
12,1,0,W
72,2,0,W
82,3,0,W
14,1,0,W
20,1,1,W
26,2,1,W
51,3,1,W
82,3,2,W
10,1,0,L
48,1,1,L
52,1,2,L
70,1,3,L
79,1,0,W
00,1,0,W
30,2,0,W
52,3,0,W
27,0,1,W
60,1,1,W
94,2,1,W
30,1,0,W
36,1,0,W
37,2,0,W
44,3,0,W
45,4,0,W
85,4,1,W
88,5,1,W
11,1,0,W
49,2,0,W
17,0,1,W
51,1,1,W
67,2,1,W
78,2,2,W
86,3,2,W
19,1,0,W
20,2,0,W
56,2,1,W
66,1,0,W
83,2,0,W
42,1,0,W
47,1,1,W
80,2,1,W
32,1,0,W
35,2,0,W
39,2,1,W
91,1,0,W
60,1,0,W
70,2,0,W
15,0,1,L
60,0,2,L
65,0,3,L
110,0,0,T
09,1,0,T
45,1,1,T
110,0,0,T
28,1,0,W
01,1,0,W
05,2,0,W
12,3,0,W
25,4,0,W
28,5,0,W
40,6,0,W
44,7,0,W
73,8,0,W
44,1,0,W
56,2,0,W
62,2,1,W
27,1,0,T
40,1,1,T
66,1,2,T
84,2,2,T
58,1,0,W
28,1,0,W
46,1,1,W
51,2,1,W
56,3,1,W
34,0,1,L
76,0,1,L
01,1,0,W
65,2,0,W
68,3,0,W
110,0,0,T
110,0,0,T
03,1,0,W
04,2,0,W
20,3,0,W
27,4,0,W
36,5,0,W
62,6,0,W
63,7,0,W
65,8,0,W
46,1,0,W
48,2,0,W
70,0,1,L
110,0,0,T
04,0,1,L
07,0,2,L
12,0,3,L
21,0,4,L
26,0,5,L
26,1,5,L
75,2,5,L
77,2,6,L
86,3,6,L
68,0,1,L
21,0,1,L
27,0,2,L
28,0,3,L
30,0,4,L
39,1,4,L
88,1,5,L
105,1,0,W
110,0,0,T
23,1,0,W
82,2,0,W
18,1,0,W
22,2,0,W
54,3,0,W
89,4,0,W
07,0,1,L
32,0,2,L
46,1,2,L
38,1,0,W
58,2,0,W
19,0,1,L
56,0,2,L
59,0,3,L
3,1,0,T
58,1,1,T
14,0,1,L
34,0,2,L
19,1,0,W
55,2,0,W
48,1,0,W
09,1,0,L
28,1,1,L
37,1,2,L
66,1,3,L
69,1,4,L
21,0,1,L
37,1,0,W
65,1,1,W
105,2,1,W
110,0,0,T
110,0,0,T
05,0,1,W
40,1,1,W
51,2,1,W
26,0,1,L
44,0,2,L
69,1,2,L
33,1,0,W
110,0,0,T
11,0,1,W
30,1,1,W
49,2,1,W
56,3,1,W
62,4,1,W
65,5,1,W
43,0,1,L
75,0,2,L
51,0,1,L
32,0,1,L
81,0,2,L
110,0,0,T
5,0,1,L
10,0,2,L
25,0,1,L
69,0,2,L
87,0,3,L
88,1,3,L
91,0,1,L
92,1,0,W
51,0,1,L
54,1,1,L
56,2,1,L
70,2,2,L
96,2,3,L
10,1,0,W
26,2,0,W
51,3,0,W
80,4,0,W
67,0,1,L
86,0,2,L
36,0,1,L
48,0,2,L
57,0,3,L
68,1,3,L
04,1,0,W
17,2,0,W
31,3,0,W
56,4,0,W
36,1,0,W
71,2,0,W
02,1,0,W
14,2,0,W
37,3,0,W
51,4,0,W
01,1,0,T
56,1,1,T
48,1,0,W
77,2,0,W
81,2,1,W
89,0,1,L
34,1,0,W
36,1,0,W
77,1,1,W
99,2,1,W
98,1,0,W
22,0,1,L
112,0,1,L
46,0,1,L
63,1,1,L
94,1,2,L
53,1,0,W
59,2,0,W
76,2,1,W
03,1,0,W
52,2,0,W
86,3,0,W
03,0,1,L
04,0,2,L
09,0,3,L
21,0,4,L
63,0,5,L
110,0,0,T
75,0,1,L
23,1,0,W
49,1,1,W
51,2,1,W
63,3,1,W
20,0,1,L
64,0,2,L
81,0,3,L
11,0,1,W
58,1,1,W
94,2,1,W
110,0,0,T
71,1,0,W
29,0,1,L
54,1,1,L
81,1,2,L
34,1,0,W
36,2,0,W
45,3,0,W
10,1,0,W
20,2,0,W
33,3,0,W
38,4,0,W
40,5,0,W
44,6,0,W
46,7,0,W
47,8,0,W
55,9,0,W
58,10,0,W
66,11,0,W
67,11,1,W
12,1,0,W
81,2,0,W
30,1,0,W
57,1,0,W
88,2,0,W
02,0,1,L
23,1,1,L
40,1,2,L
79,1,3,L
30,1,0,T
62,1,1,T
89,0,1,L
05,0,1,W
29,1,1,W
31,2,1,W
52,3,1,W
31,0,1,T
82,1,1,T
86,1,2,T
86,2,2,T
09,1,0,W
32,1,0,W
41,2,0,W
89,2,1,W
81,1,0,W
05,1,0,W
33,2,0,W
36,2,1,W
53,2,2,W
54,3,2,W
57,4,2,W
01,1,0,W
04,2,0,W
08,2,1,W
61,3,1,W
78,3,2,W
78,4,2,W
08,0,1,L
38,1,1,L
85,1,2,L
54,0,1,L
55,0,2,L
55,0,3,L
88,0,4,L
06,0,1,W
28,0,2,W
67,1,2,W
68,2,2,W
87,3,2,W
06,1,0,W
16,2,0,W
48,3,0,W
76,4,0,W
78,5,0,W
19,1,0,W
10,0,1,W
55,1,1,W
69,2,1,W
71,3,1,W
78,3,2,W
29,0,1,L
76,1,1,L
101,1,2,L
14,1,0,W
33,2,0,W
33,3,0,W
49,4,0,W
67,5,0,W
30,0,1,W
54,1,1,W
77,2,1,W
107,1,0,W
45,0,1,L
73,0,1,L
43,0,1,W
58,1,1,W
81,2,1,W
41,1,0,W
49,2,0,W
54,3,0,W
54,4,0,W
56,5,0,W
68,6,0,W
87,7,0,W
88,8,0,W
89,9,0,W
46,1,0,W
11,1,0,W
58,2,0,W
48,0,1,L
26,1,0,W
56,2,0,W
85,3,0,W
29,1,0,W
36,2,0,W
80,2,1,W
23,1,0,W
79,2,0,W
19,0,1,L
25,1,1,L
27,2,1,L
56,2,2,L
57,2,3,L
62,2,4,L
81,3,4,L
85,4,4,L
109,4,5,L
04,1,0,W
07,2,0,W
19,3,0,W
22,4,0,W
24,5,0,W
26,6,0,W
40,7,0,W
42,8,0,W
59,9,0,W
70,10,0,W
76,11,0,W
16,0,1,L
77,0,2,L
110,0,0,T
37,1,0,W
81,1,0,L
86,1,1,L
93,1,2,L
15,0,1,T
65,1,1,T
70,2,1,T
71,2,2,T
50,1,0,W
64,2,0,W
80,3,0,W
91,1,0,W
24,0,1,L
59,1,1,L
60,1,2,L
62,0,1,L
18,0,1,L
30,0,2,L
53,0,3,L
54,0,4,L
48,0,1,L
88,1,1,L
89,1,2,L
110,0,0,T
02,1,0,W
63,2,0,W
75,2,1,W
80,2,2,W
87,3,2,W
33,1,0,W
57,2,0,W
82,3,0,W
16,1,0,W
26,2,0,W
48,3,0,W
61,4,0,W
17,1,0,W
62,2,0,W
82,2,1,W
17,0,1,L
19,0,2,L
25,0,3,L
29,0,4,L
06,1,0,W
13,2,0,W
17,3,0,W
20,3,1,W
46,4,1,W
67,4,2,W
68,5,2,W
07,1,0,W
32,2,0,W
48,3,0,W
59,4,0,W
03,1,0,W
54,1,1,W
71,2,1,W
40,1,0,T
72,1,1,T
16,1,0,W
20,2,0,W
32,3,0,W
53,4,0,W
60,5,0,W
62,5,1,W
74,6,1,W
76,7,1,W
78,8,1,W
43,1,0,W
52,2,0,W
58,3,0,W
66,4,0,W
75,5,0,W
04,1,0,T
18,1,1,T
22,1,0,W
29,2,0,W
13,1,0,W
62,2,0,W
19,1,0,W
51,2,0,W
19,0,1,L
58,0,2,L
65,0,3,L
85,1,3,L
10,1,0,W
17,2,0,W
21,3,0,W
41,4,0,W
52,5,0,W
53,6,0,W
87,7,0,W
22,0,1,L
41,0,2,L
50,0,3,L
99,0,1,L
10,1,0,W
77,2,0,W
78,3,0,W
83,4,0,W
105,0,1,L
00,0,1,L
18,0,2,L
73,1,2,L
79,2,2,L
98,2,3,L
21,1,0,W
36,2,0,W
56,1,0,W
59,2,0,W
01,1,0,W
03,2,0,W
05,3,0,W
11,4,0,W
22,5,0,W
31,6,0,W
43,7,0,W
52,8,0,W
69,9,0,W
72,10,0,W
110,0,0,T
94,1,0,W
47,1,0,W
48,2,0,W
57,2,1,W
70,2,2,W
77,3,2,W
60,1,0,W
63,1,1,W
80,2,1,W
11,0,1,W
22,1,1,W
86,2,1,W
96,1,0,W
16,1,0,W
18,1,0,W
23,2,0,W
36,2,1,W
62,3,1,W
81,4,1,W
110,0,0,T
12,1,0,W
37,2,0,W
46,3,0,W
49,3,1,W
52,4,1,W
61,4,2,W
20,0,1,L
54,1,1,L
66,2,1,L
86,2,2,L
89,2,3,L
26,1,0,W
52,2,0,W
53,3,0,W
07,1,0,W
32,1,0,L
53,1,1,L
88,1,2,L
89,2,2,L
92,2,3,L
05,0,1,T
44,1,1,T
17,1,0,W
44,2,0,W
44,3,0,W
80,4,0,W
54,1,0,T
74,1,1,T
82,1,2,T
85,2,2,T
07,1,0,T
09,1,1,T
48,2,1,T
57,2,2,T
11,1,0,W
52,1,1,W
90,2,1,W
55,0,1,L
20,0,1,L
56,1,1,L
66,1,2,L
49,1,0,W
54,1,1,W
85,2,1,W
25,1,0,T
85,1,1,T
04,1,0,W
16,1,1,W
93,2,1,W
54,1,0,W
21,1,0,W
09,2,0,W
03,1,0,W
10,2,0,W
13,3,0,W
52,4,0,W
69,5,0,W
66,1,0,W
68,2,0,W
81,3,0,W
89,4,0,W
62,0,1,L
24,0,1,L
34,0,2,L
37,1,0,W
49,2,0,W
83,2,1,W
03,1,0,W
09,2,0,W
25,3,0,W
38,3,1,W
63,4,1,W
73,4,2,W
23,1,0,W
03,1,0,W
69,2,0,W
19,1,0,W
63,2,0,W
68,3,0,W
69,4,0,W
85,5,0,W
07,0,1,L
20,0,2,L
31,0,3,L
41,0,4,L
44,0,5,L
86,0,6,L
20,1,0,W
28,2,0,W
46,2,1,W
42,1,0,W
48,2,0,W
56,3,0,W
66,3,1,W
32,0,1,L
55,0,2,L
54,0,1,L
58,0,2,L
89,1,2,L
19,0,1,W
38,1,1,W
64,1,2,W
66,2,2,W
99,3,2,W
55,1,0,W
64,1,1,W
78,2,1,W
25,0,1,L
29,0,2,L
54,1,2,L
03,0,1,L
14,1,1,L
34,1,2,L
74,1,3,L
81,1,4,L
86,1,5,L
110,0,0,T
71,1,0,W
22,0,1,T
54,1,1,T
45,1,0,T
52,1,1,T
10,0,1,W
84,1,1,W
98,2,1,W
03,1,0,W
09,2,0,W
64,3,0,W
07,0,1,L
35,0,2,L
52,0,3,L
74,0,4,L
82,1,0,W
83,1,0,W
05,0,1,L
34,1,1,L
55,1,2,L
78,1,3,L
87,1,4,L
56,1,0,W
73,0,1,T
85,1,1,T
01,1,0,W
10,2,0,W
13,3,0,W
72,3,1,W
80,4,1,W
20,0,1,L
47,1,1,L
78,1,2,L
62,1,0,W
79,2,0,W
110,0,0,T
08,0,1,L
13,0,2,L
55,0,3,L
13,0,1,L
20,0,2,L
46,0,3,L
66,0,4,L
10,1,0,W
86,2,0,W
05,0,1,L
13,0,2,L
39,1,2,L
58,1,3,L
82,1,4,L
69,1,0,T
88,1,1,T
29,0,1,L
31,1,0,W
32,1,0,L
47,1,1,L
55,1,2,L
25,1,0,W
40,2,0,W
52,3,0,W
86,4,0,W
25,1,0,W
63,2,0,W
69,2,1,W
47,1,0,W
49,2,0,W
86,2,1,W
57,0,1,L
76,0,2,L
88,0,1,L
52,1,0,W
15,1,0,W
34,2,0,W
35,3,0,W
86,4,0,W
25,0,1,T
55,1,1,T
49,1,0,W
16,1,0,W
23,2,0,W
78,3,0,W
26,1,0,W
62,2,0,W
44,1,0,W
54,0,1,T
62,1,1,T
02,1,0,W
36,2,0,W
39,2,1,W
32,0,1,L
55,0,2,L
58,0,3,L
12,0,1,L
15,0,2,L
49,0,3,L
59,0,4,L
110,0,0,T
110,0,0,T
110,0,0,T
11,0,1,L
18,0,2,L
46,0,3,L
48,0,4,L
68,1,4,L
39,0,1,L
65,0,2,L
66,0,3,L
83,0,4,L
58,1,0,W
15,1,0,W
27,2,0,W
31,0,1,L
46,0,2,L
46,0,3,L
49,0,4,L
55,0,5,L
58,1,5,L
68,1,6,L
13,1,0,W
29,1,1,W
54,2,1,W
56,3,1,W
01,1,0,W
17,1,1,W
40,2,1,W
47,0,1,L
33,0,1,W
61,1,1,W
84,2,1,W
37,1,0,W
73,2,0,W
89,3,0,W
13,0,1,L
35,0,2,L
54,0,3,L
36,1,0,W
77,1,1,W
107,2,1,W
08,0,1,L
22,0,2,L
09,1,0,L
17,1,1,L
23,1,2,L
31,1,3,L
76,1,4,L
06,1,0,L
07,1,1,L
20,1,2,L
42,1,3,L
59,1,4,L
80,2,4,L
21,0,1,L
43,0,2,L
60,0,3,L
79,0,4,L
38,1,0,W
44,2,0,W
51,3,0,W
00,1,0,W
05,2,0,W
70,3,0,W
110,0,0,T
43,0,1,L
59,0,2,L
86,1,2,L
89,1,3,L
50,1,0,W
10,1,0,W
71,2,0,W
72,3,0,W
110,0,0,T
57,1,0,W
38,1,0,T
84,1,1,T
04,0,1,L
06,0,2,L
11,0,3,L
37,0,4,L
42,0,1,L
61,0,2,L
62,0,3,L
40,1,0,L
70,1,1,L
73,1,2,L
76,1,3,L
19,1,0,W
74,2,0,W
79,2,1,W
110,0,0,T
02,0,1,L
02,0,2,L
28,0,3,L
49,0,4,L
55,0,5,L
65,0,6,L
75,0,7,L
86,0,8,L
31,1,0,W
41,2,0,W
44,3,0,W
49,4,0,W
62,5,0,W
76,6,0,W
84,6,1,W
87,6,2,W
46,1,0,L
62,1,1,L
64,1,2,L
38,1,0,L
48,1,1,L
101,1,2,L
49,1,0,W
15,0,1,L
37,0,2,L
54,0,3,L
71,0,4,L
73,1,4,L
13,1,0,W
29,2,0,W
81,3,0,W
88,3,1,W
39,0,1,W
59,1,1,W
63,2,1,W
64,3,1,W
70,4,1,W
36,1,0,W
76,2,0,W
06,1,0,W
20,1,1,W
42,2,1,W
66,2,2,W
101,3,2,W
7,1,0,W
54,2,0,W
21,0,1,L
29,1,1,L
70,1,2,L
24,0,1,T
65,1,1,T
08,0,1,L
02,0,2,L
11,0,1,L
49,0,1,L
17,1,0,W
24,2,0,W
79,0,1,L
17,1,0,W
63,2,0,W
19,1,0,W
23,1,1,W
36,1,2,W
56,2,2,W
82,3,2,W
03,1,0,W
26,2,0,W
81,3,0,W
88,4,0,W
00,1,0,W
10,2,0,W
22,2,1,W
26,3,1,W
53,4,1,W
56,4,2,W
77,4,3,W
41,0,1,T
70,1,1,T
73,2,1,T
86,2,2,T
19,1,0,L
29,1,1,L
68,1,2,L
65,1,0,W
14,1,0,W
25,2,0,W
53,3,0,W
64,4,0,W
64,5,0,W
64,6,0,W
85,7,0,W
12,1,0,W
52,1,1,W
69,1,2,W
71,2,2,W
89,3,2,W
11,0,1,L
12,0,2,L
44,0,3,L
53,0,4,L
56,1,4,L
66,1,5,L
06,0,1,L
10,0,2,L
26,1,2,L
35,2,2,L
48,2,3,L
70,2,4,L
73,2,5,L
08,0,1,L
08,0,2,L
11,0,3,L
14,0,4,L
15,0,5,L
27,0,6,L
58,0,7,L
63,0,8,L
65,0,9,L
77,0,10,L
81,0,11,L
08,1,0,W
14,2,0,W
17,3,0,W
18,4,0,W
55,1,0,W
57,2,0,W
72,3,0,W
17,1,0,W
35,2,0,W
53,3,0,W
74,4,0,W
80,5,0,W
85,6,0,W
15,0,1,L
26,0,2,L
40,1,0,W
74,2,0,W
78,3,0,W
18,1,0,W
38,2,0,W
110,0,0,T
58,1,0,T
60,1,1,T
58,0,1,L
76,0,2,L
73,1,0,W
14,0,1,L
16,0,2,L
46,0,3,L
53,0,4,L
60,0,5,L
71,0,6,L
11,0,1,L
49,0,2,L
74,0,1,L
24,1,0,W
35,2,0,W
38,2,1,W
43,2,2,W
47,3,2,W
53,4,2,W
67,5,2,W
77,6,2,W
53,1,0,W
10,1,0,W
46,1,1,W
74,2,1,W
76,3,1,W
23,0,1,L
38,0,2,L
52,0,3,L
00,1,0,W
08,2,0,W
25,3,0,W
29,4,0,W
32,5,0,W
46,6,0,W
58,7,0,W
60,8,0,W
71,9,0,W
81,10,0,W
83,11,0,W
85,12,0,W
43,0,1,L
55,0,2,L
58,1,2,L
05,1,0,W
19,2,0,W
86,2,1,W
31,0,1,L
22,1,0,L
56,1,1,L
65,1,2,L
70,1,3,L
80,1,4,L
02,0,1,L
05,0,1,L
27,0,1,L
40,0,2,L
77,1,2,L
22,0,1,L
49,0,2,L
60,0,3,L
62,0,4,L
19,1,0,W
34,2,0,W
36,3,0,W
47,4,0,W
67,5,0,W
88,6,0,W
06,1,0,W
12,1,1,W
53,2,1,W
30,1,0,W
51,2,0,W
63,2,1,W
81,3,1,W
16,1,0,W
37,1,1,W
57,2,1,W
67,1,0,W
75,2,0,W
85,3,0,W
06,0,1,L
10,0,2,L
48,1,2,L
63,1,3,L
76,1,4,L
05,1,0,W
37,2,0,W
02,1,0,W
09,2,0,W
20,3,0,W
56,4,0,W
12,1,0,W
18,0,1,L
23,0,2,L
52,1,2,L
82,2,2,L
107,2,3,L
17,1,0,W
41,2,0,W
63,3,0,W
21,1,0,L
29,1,1,L
58,1,2,L
47,1,0,L
50,1,1,L
64,1,2,L
23,0,1,L
34,0,2,L
75,0,3,L
10,1,0,W
02,1,0,W
85,2,0,W
00,0,1,L
32,0,2,L
55,0,3,L
56,0,4,L
68,0,5,L
73,0,6,L
38,0,1,L
70,0,2,L
13,1,0,W
51,2,0,W
53,3,0,W
25,1,0,W
52,1,1,W
92,2,1,W
07,1,0,W
30,2,0,W
33,3,0,W
43,4,0,W
46,5,0,W
48,6,0,W
59,7,0,W
63,8,0,W
79,9,0,W
89,10,0,W
16,1,0,T
56,1,1,T
06,0,1,L
18,0,2,L
21,0,3,L
22,0,4,L
51,1,4,L
56,1,5,L
65,1,6,L
37,0,1,L
72,1,1,L
119,1,2,L
51,0,1,L
64,0,2,L
12,1,0,W
15,2,0,W
86,2,1,W
60,1,0,W
62,2,0,W
80,3,0,W
56,1,0,W
87,2,0,W
54,0,1,L
60,0,2,L
61,1,2,L
06,0,1,L
64,1,1,L
76,1,2,L
06,0,1,W
15,0,2,W
45,1,2,W
54,2,2,W
74,3,2,W
75,1,0,W
76,2,0,W
01,1,0,W
38,2,0,W
43,3,0,W
58,3,1,W
86,3,2,W
26,1,0,L
27,1,1,L
82,1,2,L
34,1,0,W
38,2,0,W
56,3,0,W
59,4,0,W
80,5,0,W
67,0,1,L
72,0,2,L
45,0,1,L
45,1,1,L
54,1,2,L
14,0,1,L
110,0,0,T
28,1,0,W
60,2,0,W
77,3,0,W
10,1,0,W
10,2,0,W
65,3,0,W
84,4,0,W
96,1,0,W
39,0,1,W
41,1,1,W
55,2,1,W
61,3,1,W
63,4,1,W
06,0,1,W
29,1,1,W
69,2,1,W
70,3,1,W
85,3,2,W
15,1,0,W
24,2,0,W
36,3,0,W
83,4,0,W
86,5,0,W
09,1,0,W
61,2,0,W
81,3,0,W
69,0,1,L
110,0,0,T
43,0,1,L
50,0,2,L
51,0,3,L
64,1,3,L
66,2,3,L
30,0,1,W
66,1,1,W
85,2,1,W
110,0,0,T
48,1,0,W
22,0,1,W
12,1,1,W
20,2,1,W
19,1,0,L
82,1,1,L
92,1,2,L
05,1,0,W
33,1,1,W
67,2,1,W
20,1,0,W
41,1,1,W
61,2,1,W
77,1,0,W
77,2,0,W
87,2,1,W
110,0,0,T
110,0,0,T
01,1,0,W
10,2,0,W
14,3,0,W
23,4,0,W
29,5,0,W
70,6,0,W
62,0,1,L
78,0,2,L
01,1,0,W
41,2,0,W
49,3,0,W
52,4,0,W
60,5,0,W
28,1,0,W
76,1,0,W
110,0,0,T
23,0,1,L
55,1,1,L
97,1,2,L
28,1,0,W
32,2,0,W
40,3,0,W
59,4,0,W
53,1,0,W
82,1,1,W
89,2,1,W
07,1,0,W
13,2,0,W
110,0,0,T
19,1,0,W
37,0,1,L
101,1,0,W
15,0,1,L
47,1,1,L
104,1,2,L
51,1,0,W
73,2,0,W
23,1,0,W
63,1,0,W
04,1,0,T
64,1,1,T
70,1,2,T
84,2,2,T
18,0,1,L
24,0,2,L
44,1,2,L
12,1,0,W
43,2,0,W
85,3,0,W
20,0,1,L
25,0,2,L
80,0,3,L
84,0,4,L
55,0,1,L
08,1,0,W
68,2,0,W
97,1,0,W
15,0,1,L
26,1,0,W
35,2,0,W
58,3,0,W
79,3,1,W
02,0,1,W
04,1,1,W
11,2,1,W
29,2,2,W
30,3,2,W
41,4,2,W
45,5,2,W
52,6,2,W
68,6,3,W
24,1,0,W
43,2,0,W
88,3,0,W
14,0,1,L
57,0,2,L
59,0,3,L
04,1,0,W
44,2,0,W
70,3,0,W
03,1,0,W
43,2,0,W
80,3,0,W
29,0,1,L
32,0,2,L
53,0,3,L
73,0,4,L
66,0,1,L
77,0,2,L
21,0,1,L
110,0,0,T
17,0,1,L
18,0,2,L
20,0,3,L
23,0,4,L
44,0,5,L
110,0,0,T
25,1,0,L
28,2,0,L
76,2,1,L
83,2,2,L
85,2,3,L
03,0,1,W
58,1,1,W
91,2,1,W
16,1,0,L
23,1,1,L
36,1,2,L
21,1,0,W
50,2,0,W
65,3,0,W
70,4,0,W
82,5,0,W
88,6,0,W
20,1,0,W
50,1,1,W
51,2,1,W
70,3,1,W
89,4,1,W
86,0,1,L
68,0,1,L
11,1,0,W
65,1,0,W
80,2,0,W
19,0,1,L
34,0,2,L
60,0,3,L
73,0,4,L
80,0,5,L
85,0,6,L
11,0,1,W
16,1,1,W
109,2,1,W
06,0,1,L
38,0,2,L
39,0,3,L
73,0,4,L
36,0,1,L
41,1,1,L
68,1,2,L
71,1,3,L
79,1,4,L
22,0,1,L
32,0,2,L
62,1,2,L
01,0,1,L
05,0,2,L
13,0,3,L
19,0,4,L
26,0,5,L
48,0,6,L
51,0,7,L
59,0,8,L
62,0,9,L
68,0,10,L
72,0,11,L
11,0,1,L
36,1,1,L
100,1,2,L
06,1,0,W
19,2,0,W
32,3,0,W
59,4,0,W
67,5,0,W
82,5,1,W
14,1,0,W
55,2,0,W
59,3,0,W
61,3,1,W
66,4,1,W
110,0,0,T
14,1,0,T
31,1,1,T
42,2,1,T
60,2,2,T
18,1,0,W
61,2,0,W
02,0,1,W
76,1,1,W
84,2,1,W
07,1,0,W
75,2,0,W
80,3,0,W
89,0,1,L
110,0,0,T
13,1,0,W
62,1,1,W
72,2,1,W
50,1,0,T
71,1,1,T
06,1,0,W
47,1,0,W
89,2,0,W
40,1,0,L
66,2,0,L
67,2,1,L
71,2,2,L
98,2,3,L
94,1,0,W
62,0,1,L
73,1,1,L
92,1,2,L
23,1,0,W
47,2,0,W
52,0,1,L
58,1,1,L
90,1,2,L
00,1,0,W
12,2,0,W
31,3,0,W
37,4,0,W
55,5,0,W
85,6,0,W
61,0,1,L
11,1,0,W
53,0,1,L
64,1,0,W
01,1,0,W
53,2,0,W
56,3,0,W
89,4,0,W
110,0,0,T
110,0,0,T
02,1,0,W
22,2,0,W
102,1,0,W
61,1,0,L
62,1,1,L
80,1,2,L
05,1,0,W
54,2,0,W
49,1,0,W
52,2,0,W
25,0,1,L
36,0,2,L
62,0,3,L
72,1,3,L
78,1,4,L
80,1,5,L
16,1,0,W
28,2,0,W
36,3,0,W
62,4,0,W
62,5,0,W
14,1,0,T
65,1,1,T
80,1,2,T
88,2,2,T
110,0,0,T
53,0,1,L
75,0,2,L
87,0,3,L
03,0,1,L
16,0,2,L
30,0,3,L
44,1,3,L
46,2,3,L
76,2,4,L
08,0,1,L
13,0,2,L
18,0,3,L
43,0,4,L
62,0,5,L
66,0,6,L
79,0,7,L
85,0,8,L
14,1,0,W
61,2,0,W
33,0,1,L
16,1,0,W
24,1,1,W
28,2,1,W
29,3,1,W
37,4,1,W
59,5,1,W
73,6,1,W
78,6,2,W
15,1,0,W
49,2,0,W
58,3,0,W
67,4,0,W
70,4,1,W
83,4,2,W
02,0,1,L
04,1,0,W
07,2,0,W
81,3,0,W
85,3,1,W
49,0,1,W
85,1,1,W
86,2,1,W
74,0,1,W
86,1,1,W
101,2,1,W
74,0,1,L
08,1,0,W
54,2,0,W
55,3,0,W
68,4,0,W
69,5,0,W
89,6,0,W
24,0,1,L
02,1,0,W
09,2,0,W
87,3,0,W
22,1,0,W
24,2,0,W
29,3,0,W
49,3,1,W
80,3,2,W
87,4,2,W
16,0,1,L
17,0,2,L
53,1,2,L
